Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
第５課 大変な１日,終電,しゅうでん,shuuden',oxirgi poyezd,final train,終電の大切さを改めて実感しました。 (oxirgi poyezdning muhimligini yana bir bor his qildim.)
第５課 大変な１日,緑,みどり,midori,yashil rang,green,緑の大切さを改めて実感しました。 (yashil rangning muhimligini yana bir bor his qildim.)
第５課 大変な１日,線路,せんろ,senro,temir yo'l,"(train, subway) line",線路の大切さを改めて実感しました。 (temir yo'lning muhimligini yana bir bor his qildim.)
第５課 大変な１日,自転車がなくなった。,じてんしゃがなくなった。,jitenshaganakunatta,Velosipedim yo'qoldi.,"""I lost my bicycle.""",自転車がなくなった。 (Velosipedim yo'qoldi.)
第５課 大変な１日,色,いろ,iro,rang,color,色の大切さを改めて実感しました。 (rangning muhimligini yana bir bor his qildim.)
第５課 大変な１日,落とす,おとす,otosu,tushirib yubormoq,drop,毎日しっかりと落とすように努力しています。 (Har kuni astoydil tushirib yubormoqga intilaman.)
第５課 大変な１日,見つかる,みつかる,mitsukaru,topilmoq,find,毎日しっかりと見つかるように努力しています。 (Har kuni astoydil topilmoqga intilaman.)
第５課 大変な１日,警官,けいかん,keikan',politsiya xodimi,policeman,警官と親しく話をしました。 (politsiya xodimi bilan yaqindan suhbatlashdim.)
第５課 大変な１日,転ぶ,ころぶ,korobu,yiqilmoq,fall down,毎日しっかりと転ぶように努力しています。 (Har kuni astoydil yiqilmoqga intilaman.)
第５課 大変な１日,辺,へん,hen',"atrof, tomon",area,辺の大切さを改めて実感しました。 (atrofning muhimligini yana bir bor his qildim.)
第５課 大変な１日,迷う,まよう,mayou,"yo'lni yo'qotmoq, adashmoq",lose (one's way),毎日しっかりと迷うように努力しています。 (Har kuni astoydil yo'lni yo'qotmoqga intilaman.)
第５課 大変な１日,途中,とちゅう,tochuu,"yo'l-yo'lakay, o'rtasida",in the middle of (doing something),途中の大切さを改めて実感しました。 (yo'l-yo'lakayning muhimligini yana bir bor his qildim.)
第５課 大変な１日,連絡・する,れんらく・する,renraku-suru,"aloqa qilmoq, xabar berish",contact,計画通りに連絡を行いました。 (Rejaga muvofiq aloqa qilmoqni amalga oshirdik.)
第５課 大変な１日,遅刻・する,ちこく・する,chikoku-suru,kechikmoq,be late,計画通りに遅刻を行いました。 (Rejaga muvofiq kechikmoqni amalga oshirdik.)
第５課 大変な１日,道に迷う。,みちにまよう。,michinimayou,Yo'ldan adashaman.,get lost,道に迷う。 (Yo'ldan adashaman.)
第５課 大変な１日,銀行のカード,ぎんこうのカード,ginkounokaado,bank kartasi,bank card,銀行のカードの大切さを改めて実感しました。 (bank kartasining muhimligini yana bir bor his qildim.)
第５課 大変な１日,鍵,かぎ,kagi,kalit,key,鍵の大切さを改めて実感しました。 (kalitning muhimligini yana bir bor his qildim.)
第５課 大変な１日,間違える,まちがえる,machigaeru,xato qilmoq,make a mistake,毎日しっかりと間違えるように努力しています。 (Har kuni astoydil xato qilmoqga intilaman.)
第５課 大変な１日,階段,かいだん,kaidan',zinapoya,stairs,階段の大切さを改めて実感しました。 (zinapoyaning muhimligini yana bir bor his qildim.)
第５課 大変な１日,革,かわ,kawa,"charm, teri",leather,革の大切さを改めて実感しました。 (charmning muhimligini yana bir bor his qildim.)
第５課 大変な１日,預かる,あずかる,azukaru,saqlashga olmoq (yukni),"leave (something, someone) in someone's care, check in (baggage)",毎日しっかりと預かるように努力しています。 (Har kuni astoydil saqlashga olmoqga intilaman.)
第５課 大変な１日,駅を出ます。,えきをでます。,ekiodemasu,Bekatdan chiqaman.,leave a station,駅を出ます。 (Bekatdan chiqaman.)
第５課 大変な１日,～ずつ,～ずつ,~zutsu,har biriga ~ dan,every ~,毎日しっかりと～ずつように努力しています。 (Har kuni astoydil har biriga ~ danga intilaman.)
第５課 大変な１日,～号車,～ごうしゃ,~gousha,~-vagon,number ~ train,号車の大切さを改めて実感しました。 (~-vagonning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,あとで,あとで,atode,keyinroq,later,あとでの大切さを改めて実感しました。 (keyinroqning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,お願いします,おねがいします,onegaishimasu,iltimos (qilib bering),"""Please (do it).""",毎日しっかりとお願いしますように努力しています。 (Har kuni astoydil iltimosga intilaman.)
第６課 旅行に行こう,こっち,こっち,kotchi,bu yoq (norasmiy),this way (informal),こっちの大切さを改めて実感しました。 (bu yoqning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,そっち,そっち,sotchi,u yoq (norasmiy),that way (informal),そっちの大切さを改めて実感しました。 (u yoqning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,それに,それに,soreni,"bundan tashqari, qo'shimcha","also, in addition",お気に入りのそれにを身につけました。 (Sevimli bundan tashqariimni kiyib (taqib) oldim.)
第６課 旅行に行こう,なし,なし,nashi,"yo'q, mavjud emas",none,なしの大切さを改めて実感しました。 (yo'qning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,ぬれる,ぬれる,nureru,ho'l bo'lmoq,get wet,毎日しっかりとぬれるように努力しています。 (Har kuni astoydil ho'l bo'lmoqga intilaman.)
第６課 旅行に行こう,イルカ,イルカ,iruka,delfin,dolphin,イルカの大切さを改めて実感しました。 (delfinning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,ウニ,ウニ,uni,dengiz tipratikani,sea urchin,ウニの大切さを改めて実感しました。 (dengiz tipratikanining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,カニ,カニ,kani,qisqichbaqa,crab,カニの大切さを改めて実感しました。 (qisqichbaqaning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,カヌー,カヌー,kanuu,kanoe (qayiq),canoe,カヌーの大切さを改めて実感しました。 (kanoening muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,ガイドブック,ガイドブック,gaidobukku,yo'l ko'rsatkich kitob,guidebook,ガイドブックの大切さを改めて実感しました。 (yo'l ko'rsatkich kitobning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,ガイド・する,ガイド・する,gaido-suru,"yo'l ko'rsatmoq, gidlik qilmoq",guide,計画通りにガイドを行いました。 (Rejaga muvofiq yo'l ko'rsatmoqni amalga oshirdik.)
第６課 旅行に行こう,キャンプ・する,キャンプ・する,kyanpu-suru,lagerda dam olmoq,camp,計画通りにキャンプを行いました。 (Rejaga muvofiq lagerda dam olmoqni amalga oshirdik.)
第６課 旅行に行こう,コピー・する,コピー・する,kopii-suru,nusxa ko'chirmoq,make a photocopy,計画通りにコピーを行いました。 (Rejaga muvofiq nusxa ko'chirmoqni amalga oshirdik.)
第６課 旅行に行こう,ショッピングセンター,ショッピングセンター,shoppingusentaa,savdo markazi,"shopping center, mall",ショッピングセンターの場所を地図で調べました。 (savdo markazining manzilini xaritadan qidirdim.)
第６課 旅行に行こう,ショー,ショー,shoo,"shou, tomosha",show,ショーの大切さを改めて実感しました。 (shouning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,ジャガイモ,ジャガイモ,jagaimo,kartoshka,potato,ジャガイモの大切さを改めて実感しました。 (kartoshkaning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,スノーボード,スノーボード,sunooboodo,snoubord,snowboard,スノーボードの大切さを改めて実感しました。 (snoubordning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,トウモロコシ,トウモロコシ,toumorokoshi,makkajo'xori,corn,トウモロコシの大切さを改めて実感しました。 (makkajo'xorining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,パーク,パーク,paaku,park,park,パークの大切さを改めて実感しました。 (parkning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,マフラー,マフラー,mafuraa,sharf,scarf,マフラーの大切さを改めて実感しました。 (sharfning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,ラベンダー畑,ラベンダーばたけ,rabendaabatake,lavanda dalasi,Lavender Farm,ラベンダー畑の大切さを改めて実感しました。 (lavanda dalasining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,乗馬,じょうば,jouba,otda uchish,horseback riding,乗馬の大切さを改めて実感しました。 (otda uchishning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,代金,だいきん,daikin',"to'lov, narx","charges, fees",代金の大切さを改めて実感しました。 (to'lovning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,休みを取る。,やすみをとる。,yasumiotoru,Ta'til olmoq.,take a vacation,休みを取る。 (Ta'til olmoq.)
第６課 旅行に行こう,伝える,つたえる,tsutaeru,"yetkazmoq, aytib qo'ymoq",tell (someone something),毎日しっかりと伝えるように努力しています。 (Har kuni astoydil yetkazmoqga intilaman.)
第６課 旅行に行こう,伝統的（な）,でんとうてき（な）,dentoutekina,an'anaviy,traditional,この方法はとても伝統的だと思います。 (Bu usul juda an'anaviy deb hisoblayman.)
第６課 旅行に行こう,値段,ねだん,nedan',narx,price,値段の大切さを改めて実感しました。 (narxning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,内容,ないよう,naiyou,"mazmun, tarkib",details,内容の大切さを改めて実感しました。 (mazmunning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,出発・する,しゅっぱつ・する,shuppatsu-suru,jo'nab ketmoq,"leave, depart",計画通りに出発を行いました。 (Rejaga muvofiq jo'nab ketmoqni amalga oshirdik.)
第６課 旅行に行こう,取る,とる,toru,olmoq,take,毎日しっかりと取るように努力しています。 (Har kuni astoydil olmoqga intilaman.)
第６課 旅行に行こう,夕食,ゆうしょく,yuushoku,kechki ovqat,dinner,新鮮な夕食を美味しくいただきました。 (Yangi kechki ovqatni mazza qilib tanovul qildik.)
第６課 旅行に行こう,大人,おとな,otona,"katta yoshli, kattalar",adult,大人の大切さを改めて実感しました。 (katta yoshlining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,宿泊,しゅくはく,shukuhaku,"turar joy, tunash",lodging,京都のホテルに２泊宿泊しました。 (Kiotodagi mehmonxonada 2 kecha tunab qoldik.)
第６課 旅行に行こう,市内,しない,shinai,shahar ichida,within the city,バスで市内を観光しました。 (Avtobusda shahar ichini sayr qildik.)
第６課 旅行に行こう,年末,ねんまつ,nenmatsu,yil oxiri,end of year,年末の大切さを改めて実感しました。 (yil oxirining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,待ち合わせる,まちあわせる,machiawaseru,kelishilgan joyda uchrashib olmoq,meet with,待ち合わせるの場所を地図で調べました。 (kelishilgan joyda uchrashib olmoqning manzilini xaritadan qidirdim.)
第６課 旅行に行こう,手袋,てぶくろ,tebukuro,qo'lqop,gloves,手袋の大切さを改めて実感しました。 (qo'lqopning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,旅館,りょかん,ryokan',dyokan (an'anaviy yapon mehmonxonasi),Japanese-style inn,旅館の場所を地図で調べました。 (dyokanning manzilini xaritadan qidirdim.)
第６課 旅行に行こう,日,か,ka,kun,2 nights 3 days),日の大切さを改めて実感しました。 (kunning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,早割,はやわり,hayawari,erta bron chegirmasi,discount for early purchase,早割の大切さを改めて実感しました。 (erta bron chegirmasining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,最後,さいご,saigo,oxirgi,last,最後の大切さを改めて実感しました。 (oxirgining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,朝食,ちょうしょく,choushoku,nonushta,breakfast,新鮮な朝食を美味しくいただきました。 (Yangi nonushtani mazza qilib tanovul qildik.)
第６課 旅行に行こう,水族館,すいぞくかん,suizokukan',akvarium,aquarium,水族館の大切さを改めて実感しました。 (akvariumning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,湿原,しつげん,shitsugen',"botqoqli yer, o'tloq",marsh,湿原の大切さを改めて実感しました。 (botqoqli yerning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,牧場,ぼくじょう,bokujou,"ferma, chorvachilik xo'jaligi",ranch,牧場の大切さを改めて実感しました。 (fermaning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,珍しい,めずらしい,mezurashii,"noyob, kam uchraydigan",unusual,"とても珍しいので、気をつけてください。 (Juda noyob bo'lgani uchun, ehtiyot bo'ling.)"
第６課 旅行に行こう,用意・する,ようい・する,youi-suru,tayyorlamoq,prepare,計画通りに用意を行いました。 (Rejaga muvofiq tayyorlamoqni amalga oshirdik.)
第６課 旅行に行こう,登山,とざん,tozan',toqqa chiqish,mountain climbing,登山の大切さを改めて実感しました。 (toqqa chiqishning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,着物,きもの,kimono,kimono,clothing,着物の大切さを改めて実感しました。 (kimononing muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,自然,しぜん,shizen',tabiat,nature,自然の大切さを改めて実感しました。 (tabiatning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,船,ふね,fune,"kema, qayiq","ship, boat",船の大切さを改めて実感しました。 (kemaning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,虫,むし,mushi,hasharot,"bugs, insects",虫の大切さを改めて実感しました。 (hasharotning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,街,まち,machi,"shahar, ko'cha",town,街の場所を地図で調べました。 (shaharning manzilini xaritadan qidirdim.)
第６課 旅行に行こう,観光・する,かんこう・する,kankou-suru,"sayr qilmoq, diqqatga sazovor joylarni kezmoq","go sightseeing, tour",観光の場所を地図で調べました。 (sayr qilmoqning manzilini xaritadan qidirdim.)
第６課 旅行に行こう,観光地,かんこうち,kankouchi,sayyohlik maskani,tourist spot,観光地の大切さを改めて実感しました。 (sayyohlik maskanining muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,雰囲気,ふんいき,fun'iki,"muhit, kayfiyat","atmosphere, mood",雰囲気の大切さを改めて実感しました。 (muhitning muhimligini yana bir bor his qildim.)
第６課 旅行に行こう,～中（例：旅行中）,～ちゅう（れい：りょこうちゅう,~chuurei：ryokouchuu,~ davomida (masalan: sayohat davomida),during ~ (example: during travel),旅行中を確認しました。 (旅行中ni tekshirib tasdiqladim.)
第６課 旅行に行こう,～付き（例：朝食き）,～つき（れい：ちょうしょくき）,~tsukirei：choushokuki,~ bilan (masalan: nonushta bilan),~ included (example: breakfast included),朝食きを確認しました。 (朝食きni tekshirib tasdiqladim.)
第６課 旅行に行こう,～泊～日（例：２泊３日）,～はく～にち（れい：２はく,~haku~nichirei：２haku,~ kecha ~ kun,~ nights ~ days (example:,２泊３日を確認しました。 (２泊３日ni tekshirib tasdiqladim.)
第６課 旅行に行こう,～費（例：交通費）,～ひ（れい：こうつうひ,~hirei：koutsuuhi,~ xarajati (masalan: transport xarajati),~ fee (example: transportation fee),交通費を確認しました。 (交通費ni tekshirib tasdiqladim.)
第７課 西川さんの家へ,いらっしゃる,いらっしゃる,irassharu,kelmoq/bormoq/bo'lmoq (hurmat shakli),"come, go, be (respectful language)",毎日しっかりといらっしゃるように努力しています。 (Har kuni astoydil kelmoq/bormoq/bo'lmoqga intilaman.)
第７課 西川さんの家へ,おっしゃる,おっしゃる,ossharu,aytmoq (hurmat shakli),say (respectful language),毎日しっかりとおっしゃるように努力しています。 (Har kuni astoydil aytmoqga intilaman.)
第７課 西川さんの家へ,お邪魔します,おじゃまします,ojamashimasu,xalaqit berganim uchun kechirasiz (kirishda),"excuse me for interrupting, excuse me for intruding",毎日しっかりとお邪魔しますように努力しています。 (Har kuni astoydil xalaqit berganim uchun kechirasizga intilaman.)
第７課 西川さんの家へ,このくらい,このくらい,konokurai,"shuncha, shu qadar",this much,"とてもこのくらいので、気をつけてください。 (Juda shuncha bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,この料理は味が薄です。,このりょうりはあじがうすです。,konoryourihaajigausudesu,Bu taomning ta'mi kuchsiz.,"""This cooking has a weak flavor.""",この料理は味が薄です。 (Bu taomning ta'mi kuchsiz.)
第７課 西川さんの家へ,ごろ,ごろ,goro,"taxminan, atrofida","around, about",ごろの大切さを改めて実感しました。 (taxminanning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ご存じ,ごぞんじ,gozonji,bilmoq (hurmat shakli),know (respectful language),ご存じの大切さを改めて実感しました。 (bilmoqning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ご覧になる,ごらんになる,goranninaru,ko'rmoq (hurmat shakli),"look at, see (respectful language)",毎日しっかりとご覧になるように努力しています。 (Har kuni astoydil ko'rmoqga intilaman.)
第７課 西川さんの家へ,だいたい,だいたい,daitai,"asosan, ko'p hollarda","mostly, most of the time","とてもだいたいので、気をつけてください。 (Juda asosan bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,できあがり,できあがり,dekiagari,tayyor bo'ldi,finished,できあがりの大切さを改めて実感しました。 (tayyor bo'ldining muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,どなた,どなた,donata,kim? (muloyim),who (polite),どなたの大切さを改めて実感しました。 (kim?ning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,なさる,なさる,nasaru,qilmoq (hurmat shakli),do (respectful language),毎日しっかりとなさるように努力しています。 (Har kuni astoydil qilmoqga intilaman.)
第７課 西川さんの家へ,はちみつ,はちみつ,hachimitsu,asal,honey,毎日しっかりとはちみつように努力しています。 (Har kuni astoydil asalga intilaman.)
第７課 西川さんの家へ,みそ汁,みそしる,misoshiru,miso sho'rva (yapon soya pastasi sho'rvasi),miso soup (traditional Japanese bean paste soup),みそ汁の大切さを改めて実感しました。 (miso sho'rvaning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,むく,むく,muku,po'stini archmoq,peel,毎日しっかりとむくように努力しています。 (Har kuni astoydil po'stini archmoqga intilaman.)
第７課 西川さんの家へ,もう一度,もういちど,mouichido,yana bir marta,"one more time, again",もう一度の大切さを改めて実感しました。 (yana bir martaning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,もちろん,もちろん,mochiron',"albatta, tabiiyki",of course,もちろんの大切さを改めて実感しました。 (albattaning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ゆでる,ゆでる,yuderu,suvda qaynatmoq (sabzavot/tuxum),"boil (food, mostly vegetables or eggs, in water)",新鮮なゆでるを美味しくいただきました。 (Yangi suvda qaynatmoqni mazza qilib tanovul qildik.)
第７課 西川さんの家へ,よくいらっしゃいました,よくいらっしゃいました,yokuirasshaimashita,kelganingizdan xursandman,thank you for coming,よくいらっしゃいましたの大切さを改めて実感しました。 (kelganingizdan xursandmanning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,カップ,カップ,kappu,"piyola, stakan",cup,カップの大切さを改めて実感しました。 (piyolaning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,キャベツ,キャベツ,kyabetsu,karam,cabbage,キャベツの大切さを改めて実感しました。 (karamning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,クリーム,クリーム,kuriimu,"qaymoq, krem",cream,クリームの大切さを改めて実感しました。 (qaymoqning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,グラム,グラム,guramu,gramm,gram,グラムの大切さを改めて実感しました。 (grammning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ゼリー,ゼリー,zerii,jele,"jello, gelatin",ゼリーの大切さを改めて実感しました。 (jelening muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ソース,ソース,soosu,sous,sauce,ソースの大切さを改めて実感しました。 (sousning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,タマネギ,タマネギ,tamanegi,piyoz,onion,タマネギの大切さを改めて実感しました。 (piyozning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ニンジン,ニンジン,ninjin',sabzi,carrot,ニンジンの大切さを改めて実感しました。 (sabzining muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ネギ,ネギ,negi,yashil piyoz,green onion,ネギの大切さを改めて実感しました。 (yashil piyozning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,パスタ,パスタ,pasuta,pasta,pasta,パスタの大切さを改めて実感しました。 (pastaning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,パスタのソースを作る。,パスタのソースをつくる。,pasutanosoosuotsukuru,Pasta sousini tayyorlayman.,make pasta sauce,パスタのソースを作る。 (Pasta sousini tayyorlayman.)
第７課 西川さんの家へ,ミステリー,ミステリー,misuterii,"detektiv, sirli asar",Mystery,ミステリーの大切さを改めて実感しました。 (detektivning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,ルー,ルー,ruu,ru (sho'rva uchun quyuqlashtiruvchi),"roux, thickening agent for soup or sauce",ルーの大切さを改めて実感しました。 (runing muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,会議,かいぎ,kaigi,"yig'ilish, majlis","conference, meeting",会議の大切さを改めて実感しました。 (yig'ilishning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,冷やす,ひやす,hiyasu,sovutmoq,cool,毎日しっかりと冷やすように努力しています。 (Har kuni astoydil sovutmoqga intilaman.)
第７課 西川さんの家へ,出席・する,しゅっせき・する,shusseki-suru,qatnashmoq,attend,計画通りに出席を行いました。 (Rejaga muvofiq qatnashmoqni amalga oshirdik.)
第７課 西川さんの家へ,出身,しゅっしん,shusshin',"tug'ilgan joy, kelib chiqishi","hometown, home country",出身の場所を地図で調べました。 (tug'ilgan joyning manzilini xaritadan qidirdim.)
第７課 西川さんの家へ,半分,はんぶん,hanbun',yarmi,half,半分の大切さを改めて実感しました。 (yarmining muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,厚い,あつい,atsui,qalin,"thick, having wide thickness","とても厚いので、気をつけてください。 (Juda qalin bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,召し上がる,めしあがる,meshiagaru,yemoq/ichmoq (hurmat shakli),"eat, drink (respectful language)",毎日しっかりと召し上がるように努力しています。 (Har kuni astoydil yemoq/ichmoqga intilaman.)
第７課 西川さんの家へ,変わる,かわる,kawaru,o'zgarmoq,change,毎日しっかりと変わるように努力しています。 (Har kuni astoydil o'zgarmoqga intilaman.)
第７課 西川さんの家へ,大根,だいこん,daikon',yapon turpi (daikon),Japanese radish,大根の大切さを改めて実感しました。 (yapon turpining muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,失礼（な）,しつれい（な）,shitsureina,"qo'pol, odobsiz","rude, impolite",この方法はとても失礼だと思います。 (Bu usul juda qo'pol deb hisoblayman.)
第７課 西川さんの家へ,弱い,よわい,yowai,kuchsiz,weak,"とても弱いので、気をつけてください。 (Juda kuchsiz bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,弱火,よわび,yowabi,past olov,low heat,弱火の大切さを改めて実感しました。 (past olovning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,強火,つよび,tsuyobi,kuchli olov,strong heat,強火の大切さを改めて実感しました。 (kuchli olovning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,最後に,さいごに,saigoni,"nihoyat, oxirida","finally, lastly",最後にの大切さを改めて実感しました。 (nihoyatning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,次に,つぎに,tsugini,"keyin, so'ngra",next,次にの大切さを改めて実感しました。 (keyinning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,沸かす,わかす,wakasu,qaynatmoq (suv),boil (water),毎日しっかりと沸かすように努力しています。 (Har kuni astoydil qaynatmoqga intilaman.)
第７課 西川さんの家へ,沸騰・する,ふっとう・する,futtou-suru,qaynay boshlamoq,bring to a boil,計画通りに沸騰を行いました。 (Rejaga muvofiq qaynay boshlamoqni amalga oshirdik.)
第７課 西川さんの家へ,濃い,こい,koi,"quyuq, to'q","dense, rich, thick","とても濃いので、気をつけてください。 (Juda quyuq bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,火,ひ,hi,olov,heat,火の大切さを改めて実感しました。 (olovning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,炒める,いためる,itameru,qovurmoq (yog'da),fry,毎日しっかりと炒めるように努力しています。 (Har kuni astoydil qovurmoqga intilaman.)
第７課 西川さんの家へ,焼く,やく,yaku,"qovurmoq, pishirmoq","fry, grill, toast, bake, roast",毎日しっかりと焼くように努力しています。 (Har kuni astoydil qovurmoqga intilaman.)
第７課 西川さんの家へ,煮る,にる,niru,qaynatib pishirmoq,boil (food in water),毎日しっかりと煮るように努力しています。 (Har kuni astoydil qaynatib pishirmoqga intilaman.)
第７課 西川さんの家へ,皮,かわ,kawa,"po'st, qobiq","skin, peel",皮の大切さを改めて実感しました。 (po'stning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,相手,あいて,aite,"suhbatdosh, hamkor",the other person,相手の大切さを改めて実感しました。 (suhbatdoshning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,社長,しゃちょう,shachou,kompaniya prezidenti (direktor),company president,社長の大切さを改めて実感しました。 (kompaniya prezidentining muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,細い,ほそい,hosoi,ingichka,narrow,"とても細いので、気をつけてください。 (Juda ingichka bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,細かい,こまかい,komakai,"mayda, maydaroq","fine, small","とても細かいので、気をつけてください。 (Juda mayda bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,習慣,しゅうかん,shuukan',"odat, an'ana","custom, tradition, habit",習慣の大切さを改めて実感しました。 (odatning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,肉じゃが,にくじゃが,nikujaga,nikujaga (go'sht va kartoshkali yapon taomi),(simmered) meat and potatoes,新鮮な肉じゃがを美味しくいただきました。 (Yangi nikujagani mazza qilib tanovul qildik.)
第７課 西川さんの家へ,薄い,うすい,usui,yupqa; kuchsiz,"thin, weak","とても薄いので、気をつけてください。 (Juda yupqa bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,薄く切ります。,うすくきります。,usukukirimasu,Yupqa qilib kesaman.,"""Cut thinly.""",薄く切ります。 (Yupqa qilib kesaman.)
第７課 西川さんの家へ,課長,かちょう,kachou,bo'lim boshlig'i,section chief,課長の大切さを改めて実感しました。 (bo'lim boshlig'ining muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,調味料,ちょうみりょう,choumiryou,ziravorlar,seasonings,調味料の大切さを改めて実感しました。 (ziravorlarning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,退院・する,たいいん・する,taiin-suru,kasalxonadan chiqmoq,"leave the hospital, be discharged",退院の場所を地図で調べました。 (kasalxonadan chiqmoqning manzilini xaritadan qidirdim.)
第７課 西川さんの家へ,違い,ちがい,chigai,farq,difference,"とても違いので、気をつけてください。 (Juda farq bo'lgani uchun, ehtiyot bo'ling.)"
第７課 西川さんの家へ,遠慮・する,えんりょ・する,enryo-suru,ehtiyot bo'lmoq; tortinmoq,"refrain from, hesitate",計画通りに遠慮を行いました。 (Rejaga muvofiq ehtiyot bo'lmoqni amalga oshirdik.)
第７課 西川さんの家へ,鍋,なべ,nabe,"qozon, kastrulka",pan,鍋の大切さを改めて実感しました。 (qozonning muhimligini yana bir bor his qildim.)
第７課 西川さんの家へ,驚く,おどろく,odoroku,hayron qolmoq,surprise,毎日しっかりと驚くように努力しています。 (Har kuni astoydil hayron qolmoqga intilaman.)
第８課 ありがとう,いただく,いただく,itadaku,olmoq (kamtarona shakl),(gratefully) receive (humble language referring to oneself),いただくと親しく話をしました。 (olmoq bilan yaqindan suhbatlashdim.)
第８課 ありがとう,うれしい,うれしい,ureshii,"xursand, quvnoq",happy,"とてもうれしいので、気をつけてください。 (Juda xursand bo'lgani uchun, ehtiyot bo'ling.)"
